    0.289264192964333623E-01    0.130244602707949886E+01   -0.628863563637171268E+02
    0.229666911907081550E-01    0.131428527614475454E+01   -0.624553367486181372E+02
   -0.256421791221656481E+00    0.134001817612117757E+01   -0.623078041093193917E+02
    0.124091658785169079E+01    0.167597450644199109E+01   -0.620399868432157859E+02
    0.328032360377567722E+00    0.134121290209536026E+01   -0.618619937721592663E+02
   -0.105070884128137609E+01    0.192739337233031227E+01   -0.615914797126109903E+02
   -0.353872310339180429E+00    0.137988480103687094E+01   -0.615592104157763487E+02
    0.340145753275794882E+00    0.136096188618644853E+01   -0.612892440631459863E+02
    0.929551792814748201E+00    0.211791506957305486E+01   -0.612287124183117726E+02
    0.612875656716267758E+00    0.140946200275271316E+01   -0.611932506446250102E+02
    0.906479941087085794E-01    0.135284417040367178E+01   -0.611573146258220390E+02
    0.954123372167213990E+00    0.153708297071935229E+01   -0.611090763631300007E+02
   -0.181758088228975434E+00    0.137030367753105553E+01   -0.610988556599212700E+02
   -0.562451216866037496E+00    0.145436169788911873E+01   -0.610176706209943944E+02
    0.109408014374201468E+01    0.197900474184438258E+01   -0.609515100281625166E+02
    0.847728008741682748E+00    0.212010615656865831E+01   -0.609261024321817217E+02
    0.393496597426017780E+00    0.138214324219800311E+01   -0.608671058177033899E+02
   -0.764453888523558223E+00    0.205770081400912153E+01   -0.607703300867666059E+02
   -0.444782223968425372E+00    0.216901457813807230E+01   -0.607561131400264571E+02
    0.693760295309191810E+00    0.145208667857300977E+01   -0.607169880528386727E+02
   -0.859872120335913426E+00    0.198574932534544701E+01   -0.607126582860368842E+02
   -0.489466330719070031E+00    0.144782007065692908E+01   -0.606773328301869839E+02
   -0.209060664292203019E+00    0.138927881533576891E+01   -0.606764040441098018E+02
   -0.441686192868330219E+00    0.215963099906409228E+01   -0.606433250367387018E+02
    0.518364110730917593E+00    0.141152475715993408E+01   -0.606408338655410830E+02
   -0.890099137539694052E+00    0.194074325156353278E+01   -0.606297882681670615E+02
    0.987217117352395812E+00    0.159718422158501738E+01   -0.606055949674544365E+02
    0.540953025791982012E+00    0.141891337349154401E+01   -0.605766012190667453E+02
   -0.154146327962556451E+00    0.219226599931980726E+01   -0.604930339466457809E+02
    0.829588719207187464E+00    0.151829213213870817E+01   -0.604439061776104296E+02
   -0.561663405068678970E-01    0.138672515708679267E+01   -0.603449071695534371E+02
   -0.492182819979718245E+00    0.146905986869143912E+01   -0.602710733417727056E+02
    0.462960963590097418E+00    0.215772865671173131E+01   -0.602700151401994901E+02
    0.824451153916888169E+00    0.205834510014750727E+01   -0.602579413974493008E+02
   -0.816459279533631732E-01    0.139289495652264361E+01   -0.602358435844160596E+02
   -0.570962672774899427E+00    0.149993189011484396E+01   -0.602239183689907946E+02
   -0.763349290935361302E+00    0.198255484621607736E+01   -0.601978118183782840E+02
   -0.829031825538657841E+00    0.167890562505477270E+01   -0.601487740629115279E+02
   -0.794032242489512874E+00    0.194125756170289887E+01   -0.601012160154203627E+02
    0.827622176317209246E+00    0.203716584463370509E+01   -0.600870524644650459E+02
    0.355344495465532262E+00    0.140848973685118506E+01   -0.600817730988639624E+02
   -0.378428608834718183E+00    0.144734246745449990E+01   -0.600656331049148235E+02
   -0.856038220991448551E+00    0.181299157728059646E+01   -0.600434149260096035E+02
   -0.489534063737945224E+00    0.148246769116729471E+01   -0.600120821504069824E+02
   -0.584957548130810912E+00    0.205358878633761499E+01   -0.600083246409196107E+02
    0.448984048395735413E+00    0.142639381076989213E+01   -0.599995390924183027E+02
