    0.158363580703735352E-02    0.416700775079720365E+00    0.406194644391164061E+01   -0.573508230694260376E+24   -0.599146350544150419E+01    1
    0.155490636825561523E-02    0.139715810298151832E+01    0.109101419462792837E+02   -0.256420155254127439E+24   -0.599396350544151169E+01    1
    0.316774845123291016E-02    0.658897478643376555E+00    0.824076583250685557E+00   -0.275754530548226772E+22   -0.599646350544151474E+01    1
    0.459760427474975586E-02   -0.154121416815000889E+01    0.184584692901443437E+01   -0.296986743729796710E+20   -0.599896350544151957E+01    1
    0.702947378158569336E-02   -0.765080246717623425E+00    0.672089130292090520E+01   -0.117012768234720240E+18   -0.600146350544151552E+01    1
    0.978147983551025391E-02   -0.486581626503268805E+00    0.876391257327742923E+00   -0.330513521155574520E+17   -0.600396350544151858E+01    1
    0.105199813842773438E-01    0.346012710737367446E+00    0.169758409765985596E+01   -0.824689214886773000E+16   -0.600646350544151630E+01    1
    0.120924711227416992E-01    0.181972478974663909E+01    0.596693042490586905E+02   -0.583675434413532969E+14   -0.600896350544152469E+01    1
    0.185759663581848145E-01    0.613758465251635354E+00    0.227837373795778175E+01   -0.211055211400064180E+14   -0.601146350544151886E+01    1
    0.197147130966186523E-01    0.100145895960847819E+01    0.145799166061752938E+01   -0.182326470686265664E+14   -0.601396350544150859E+01    1
    0.188078880310058594E-01    0.129274048345803294E+01    0.438380887374350703E+01   -0.969342515612310352E+13   -0.601646350544151520E+01    1
    0.218751430511474609E-01   -0.102448404571039514E+00    0.147481438946968435E+01   -0.640125868720525391E+13   -0.601896350544151559E+01    1
    0.268056988716125488E-01    0.567238037555327534E+00    0.274435583795178628E+01   -0.456160698952225464E+12   -0.602146350544152753E+01    1
    0.335854887962341309E-01   -0.433519275742444476E+00    0.125772257497588491E+01   -0.106583925231326416E+12   -0.602396350544153325E+01    1
    0.271899700164794922E-01   -0.127447738033887509E+00    0.155454137505120578E+02   -0.699193197823168945E+11   -0.602646350544152298E+01    1
    0.401216149330139160E-01    0.660935373063455178E+00    0.762308318206795787E+00   -0.304274821638636093E+11   -0.602896350544150561E+01    1
    0.425015687942504883E-01    0.520920209160879222E+00    0.887030220649927204E+00   -0.148382040516771545E+11   -0.603146350544150955E+01    1
    0.608252882957458496E-01    0.265117500321374377E+00    0.697796473458511701E+00   -0.572468704146045804E+09   -0.603396350544152682E+01    1
    0.668470859527587891E-01   -0.127869763887163179E+01    0.570498039147747882E+00   -0.282034723524543047E+09   -0.603646350544153165E+01    1
    0.607445240020751953E-01   -0.621570579054449790E+00    0.409813542169901002E+01   -0.987266665237554908E+08   -0.603896350544152227E+01    1
    0.780779719352722168E-01    0.533164957882208412E+00    0.403761883993594528E+00   -0.905843803707127571E+08   -0.604146350544151556E+01    1
    0.766929388046264648E-01    0.120570035215910987E+01    0.489747238441918253E+00   -0.885166058542103320E+08   -0.604396350544152039E+01    1
    0.787814855575561523E-01   -0.145943889824695860E+01    0.450970913760888104E+00   -0.744467549448710233E+08   -0.604646350544152966E+01    1
    0.755125284194946289E-01   -0.498731825603206336E+00    0.870090941995334322E+00   -0.577072109187307134E+08   -0.604896350544152206E+01    1
    0.919358730316162109E-01    0.432460077920230002E+00    0.182337431492792523E+00   -0.431617293333272859E+08   -0.605146350544152156E+01    1
    0.756169557571411133E-01   -0.746166826765103597E+00    0.125086154372126224E+01   -0.396142523547508195E+08   -0.605396350544152995E+01    1
    0.772243738174438477E-01    0.184397702210987946E+00    0.108135196688071855E+01   -0.375354416248312742E+08   -0.605646350544151790E+01    1
    0.788157582283020020E-01    0.542551754917393825E+00    0.161911258044334572E+01   -0.206635764522297792E+08   -0.605896350544151829E+01    1
    0.890007615089416504E-01    0.601804164330528163E-01    0.601316194483232480E+00   -0.177164040315083712E+08   -0.606146350544153112E+01    1
    0.848939418792724609E-01   -0.124686455172610344E+01    0.111770057990956073E+01   -0.148369511316329800E+08   -0.606396350544153950E+01    1
    0.934774279594421387E-01   -0.243927490544196462E+00    0.478730931091851220E+00   -0.140740504879301116E+08   -0.606646350544153368E+01    1
    0.816751122474670410E-01   -0.601608802083310579E+00    0.208741248441582039E+01   -0.114383828059238773E+08   -0.606896350544153407E+01    1
    0.899796485900878906E-01    0.609137202546533141E+00    0.148482217434992969E+01   -0.647924441985572688E+07   -0.607146350544153712E+01    1
    0.849290490150451660E-01    0.112694103282442337E+01    0.256558240705973084E+01   -0.644561926896668226E+07   -0.607396350544151886E+01    1
    0.891265869140625000E-01   -0.304091618528646745E+00    0.180319256781040194E+01   -0.582916026841127593E+07   -0.607646350544150149E+01    1
    0.901258587837219238E-01    0.397313409453535049E+00    0.212591218051282116E+01   -0.445666996329849679E+07   -0.607896350544150277E+01    1
    0.982397794723510742E-01   -0.174622533653411560E+01    0.974549054962737249E+00   -0.435385655615999177E+07   -0.608146350544151737E+01    1
